name,country,latitude,longitude,population,elevation,elevation_feet,elevation_source,elevation_confidence,source,distance_km_to_perimeter,airport_confidence_pct,airport_error,airport_nearest_iata,airport_nearest_icao,airport_nearest_latitude,airport_nearest_longitude,airport_nearest_name,airport_reasoning,distance_km_to_rockies,driving_confidence_pct,driving_error,driving_km_to_airport,driving_km_to_hospital,driving_reasoning,driving_time_minutes_to_airport,driving_time_minutes_to_hospital,hospital_confidence_pct,hospital_error,hospital_in_city,hospital_in_city_or_nearby,hospital_nearest_latitude,hospital_nearest_longitude,hospital_nearest_name,hospital_reasoning,nearest_hospital_km
Butte,US,46.0131505,-112.536508,34494,1743.0,5718.5,opentopo,0.9,osm,0.0,90,,BTM,KBTM,45.95479965209961,-112.49700164794922,Bert Mooney Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,0.0,95,,9.341,0.672,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/-112.536508,46.013151;-112.497002,45.954800?overview=false&annotations=duration,distance&alternatives=false",14.2,1.4,95,,yes,yes,46.0102586,-112.5407819,St. James Hospital,OSM hospital within 3.0 km of centroid (nearest 0.46 km),0.46
Cottonwood Heights,US,40.61967,-111.81021,34343,1468.0,4816.3,opentopo,0.9,geonames,0.0,90,,SLC,KSLC,40.78886,-111.979866,Salt Lake City International Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,0.0,95,,32.957,5.043,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/-111.810210,40.619670;-111.979866,40.788860?overview=false&annotations=duration,distance&alternatives=false",26.8,6.9,80,,no,yes,40.6458486,-111.8358369,Utah Youth Village,No OSM hospital within 3.0 km of centroid; nearest 3.63 km,3.63
Helena,US,46.59271,-112.03611,32091,1237.0,4058.4,opentopo,0.9,geonames,0.0,90,,HLN,KHLN,46.6068,-111.983002,Helena Regional Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,0.0,95,,5.815,4.045,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/-112.036110,46.592710;-111.983002,46.606800?overview=false&annotations=duration,distance&alternatives=false",9.0,7.5,80,,no,yes,46.5828294,-111.9966817,Saint Peter's Health,No OSM hospital within 3.0 km of centroid; nearest 3.21 km,3.21
Farmington,US,40.9805,-111.88744,22566,1319.0,4327.4,open_elevation,0.85,geonames,0.0,90,,OGD,KOGD,41.195899963379,-112.0120010376,Ogden Hinckley Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,0.0,95,,29.809,12.668,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/-111.887440,40.980500;-112.012001,41.195900?overview=false&annotations=duration,distance&alternatives=false",25.5,12.1,80,,no,yes,41.0520866,-111.9686464,Intermountain Healthcare Layton Hospital,No OSM hospital within 3.0 km of centroid; nearest 10.48 km,10.48
North Salt Lake,US,40.84856,-111.90688,19796,1329.0,4360.2,opentopo,0.9,geonames,0.0,90,,SLC,KSLC,40.78886,-111.979866,Salt Lake City International Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,0.0,95,,18.02,3.859,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/-111.906880,40.848560;-111.979866,40.788860?overview=false&annotations=duration,distance&alternatives=false",16.2,5.1,80,,no,yes,40.8777574,-111.8955453,Benchmark Behavioral Health Systems,No OSM hospital within 3.0 km of centroid; nearest 3.38 km,3.38
Conda,US,42.72825,-111.53245,21260,1889.0,6197.5,open_elevation,0.85,geonames,0.0,90,,PIH,KPIH,42.9098014831543,-112.59600067138672,Pocatello Regional Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,0.0,95,,119.061,14.817,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/-111.532450,42.728250;-112.596001,42.909801?overview=false&annotations=duration,distance&alternatives=false",102.8,25.9,80,,no,yes,42.6522904,-111.6146539,Caribou Memorial Hospital,No OSM hospital within 3.0 km of centroid; nearest 10.79 km,10.79
Golden,US,39.75554,-105.2211,20330,1737.0,5698.8,opentopo,0.9,geonames,0.0,90,,BJC,KBJC,39.908798,-105.116997,Rocky Mountain Metropolitan Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,0.0,95,,26.466,8.843,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/-105.221100,39.755540;-105.116997,39.908798?overview=false&annotations=duration,distance&alternatives=false",29.3,11.6,80,,no,yes,39.7464202,-105.1529788,Denver West Surgery Center,No OSM hospital within 3.0 km of centroid; nearest 5.91 km,5.91
Durango,US,37.27528,-107.88007,18006,1995.0,6545.3,open_elevation,0.85,geonames,0.0,90,,DRO,KDRO,37.151501,-107.753998,Durango La Plata County Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,0.0,95,,26.97,3.797,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/-107.880070,37.275280;-107.753998,37.151501?overview=false&annotations=duration,distance&alternatives=false",36.3,9.3,80,,no,yes,37.2481043,-107.8709281,Animas Surgical Hospital,No OSM hospital within 3.0 km of centroid; nearest 3.13 km,3.13
North Ogden,US,41.30716,-111.96022,18446,1365.0,4478.3,opentopo,0.9,geonames,0.0,90,,OGD,KOGD,41.195899963379,-112.0120010376,Ogden Hinckley Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,0.0,95,,20.139,15.975,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/-111.960220,41.307160;-112.012001,41.195900?overview=false&annotations=duration,distance&alternatives=false",18.3,18.9,80,,no,yes,41.1916181,-111.9513812,McKay-Dee North Campus,No OSM hospital within 3.0 km of centroid; nearest 12.87 km,12.87
Centerville,US,40.918,-111.87216,16877,1337.0,4386.5,open_elevation,0.85,geonames,0.0,90,,SLC,KSLC,40.78886,-111.979866,Salt Lake City International Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,0.0,95,,26.794,3.78,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/-111.872160,40.918000;-111.979866,40.788860?overview=false&annotations=duration,distance&alternatives=false",23.3,6.0,80,,no,yes,40.8861125,-111.8694441,Lakeview Hospital,No OSM hospital within 3.0 km of centroid; nearest 3.55 km,3.55
Heber City,US,40.5069,-111.41324,9198,1713.0,5620.1,opentopo,0.9,geonames,0.0,90,,SLC,KSLC,40.78886,-111.979866,Salt Lake City International Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,0.0,95,,79.571,0.09,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/-111.413240,40.506900;-111.979866,40.788860?overview=false&annotations=duration,distance&alternatives=false",58.3,0.2,95,,yes,yes,40.5074059,-111.4137307,Encompass Health,OSM hospital within 3.0 km of centroid (nearest 0.07 km),0.07
Canmore,CA,51.08335,-115.35206,13992,1309.0,4294.6,open_elevation,0.85,geonames,0.0,90,,YYC,CYYC,51.118822,-114.009933,Calgary International Airport,Selected by OSRM driving among top-K from OurAirports dataset (scheduled service).,0.0,95,,112.874,2.52,"Driving route via OSRM. Distance and time derived from OSRM API. Source: https://router.project-osrm.org/route/v1/driving/-115.352060,51.083350;-114.009933,51.118822?overview=false&annotations=duration,distance&alternatives=false",96.1,5.7,95,,yes,yes,51.0930742,-115.3504884,Canmore General Hospital,OSM hospital within 3.0 km of centroid (nearest 1.09 km),1.09
